Mountain,Metres,Feet,Range,Location
Mount Everest,8848,29029,Himalayas  ,Nepal/China
K2,8612,28255,Karakoram  ,Pakistan/China
Kangchenjunga,8586,28169,Himalayas  ,Nepal/India
Lhotse,8516,27940,Himalayas  ,Nepal – Climbers ascend Lhotse Face in climbing Everest
Makalu,8485,27838,Himalayas  ,Nepal
Cho Oyu,8188,26864,Himalayas  ,"Nepal – Considered ""easiest"" eight-thousander"
Dhaulagiri,8167,26795,Himalayas  ,Nepal – Presumed world's highest from 1808-1838
Manaslu,8163,26781,Himalayas  ,Nepal
Nanga Parbat,8126,26660,Himalayas  ,Pakistan
Annapurna,8091,26545,Himalayas  ,Nepal – First eight-thousander to be climbed (1950)
Gasherbrum I (Hidden peak; K5),8080,26509,Karakoram  ,Pakistan/China – Originally named K5
Broad Peak,8051,26414,Karakoram  ,Pakistan/China
Gasherbrum II (K4),8035,26362,Karakoram  ,Pakistan/China – Originally named K4
Shishapangma,8027,26335,Himalayas  ,China
Gasherbrum III,7952,26089,Karakoram  ,Pakistan
Gyachung Kang,7952,26089,Himalayas  ,Nepal (Khumbu)/China
Annapurna II,7937,26040,Himalayas  ,Nepal
Gasherbrum IV (K3),7932,26024,Karakoram  ,Pakistan
Himalchuli,7893,25896,Himalayas  ,"Manaslu, Nepal"
Distaghil Sar,7885,25869,Karakoram  ,Pakistan
Ngadi Chuli,7871,25823,Himalayas  ,"Manaslu, Nepal"
Nuptse,7861,25791,Himalayas  ,"Everest Massif, Nepal"
Khunyang Chhish,7852,25761,Karakoram  ,Pakistan
Masherbrum (K1),7821,25659,Karakoram  ,Pakistan – Originally named K1
Nanda Devi,7816,25643,Himalayas  ,India (Uttarakhand)
Chomo Lonzo,7804,25604,Himalayas  ,"Makalu Massiff, Nepal/China"
Batura Sar,7795,25574,Karakoram  ,Pakistan
Kanjut Sar,7790,25558,Karakoram  ,Pakistan
Rakaposhi,7788,25551,Karakoram  ,Pakistan
Namcha Barwa,7782,25531,Himalayas  ,China
Batura II,7762,25466,Karakoram  ,Pakistan
Kamet,7756,25446,Himalayas  ,India (Uttarakhand)
Saltoro Kangri,7742,25400,Karakoram  ,India (Jammu and Kashmir)
Batura III,7729,25358,Karakoram  ,Pakistan
Jannu,7710,25295,Himalayas  ,"Kangchenjunga, Nepal"
Tirich Mir,7708,25289,Hindu Kush  ,Pakistan – #1 in Hindu Kush
Molamenqing,7703,25272,Himalayas  ,"Shishapangma group, China"
Gurla Mandhata,7694,25243,Himalayas (Nalakankar)  ,China
Saser Kangri,7672,25171,Karakoram  ,Pakistan / India (Jammu and Kashmir)
Chogolisa,7665,25148,Karakoram  ,Pakistan
Kongur Tagh,7649,25095,Pamir or Kunlun Mountains  ,China
Shispare,7611,24970,Karakoram  ,Pakistan
Silberzacken,7597,24925,Himalaya  ,Pakistan
Changtse,7583,24879,Himalayas  ,"Everest Massif, China"
Trivor,7577,24859,Karakoram  ,Karakoram – Pakistan
Gangkhar Puensum,7570,24836,Himalayas  ,Bhutan/China
Gongga Shan,7556,24790,Daxue Shan  ,"Sichuan, China"
Annapurna III,7555,24787,Himalayas  ,Nepal
Kula Kangri,7554,24783,Himalayas  ,China (possibly also Bhutan)
Skyang Kangri,7545,24754,Karakoram  ,Pakistan
Liankang Kangri,7535,24721,Himalayas  ,Bhutan/China
Yukshin Gardan Sar,7530,24705,Karakoram  ,Pakistan
Annapurna IV,7525,24688,Himalayas  ,Nepal
Saser Kangri II,7518,24665,Karakoram  ,India (Jammu and Kashmir)
Mamostong Kangri,7516,24659,Karakoram  ,India (Jammu and Kashmir)
Muztagh Ata,7509,24636,Kongur Tagh  ,China (Xinjiang)
Ismoil Somoni Peak,7495,24590,Pamir Mountains  ,Tajikistan
Saser Kangri III,7495,24590,Karakoram  ,India (Jammu and Kashmir)
Noshaq,7492,24580,Hindu Kush  ,Pakistan/Afghanistan – #1 in Afghanistan
Pumari Chhish,7492,24580,Karakoram  ,Pakistan
Passu Sar,7476,24528,Karakoram  ,Pakistan
Jongsong Peak,7462,24482,Himalayas  ,India/Nepal/China
Malubiting,7458,24469,Karakoram  ,Pakistan
Gangapurna,7455,24459,Annapurna Himalaya  ,Nepal
Muchu Chhish (Batura V),7453,24452,Karakoram  ,Pakistan
Jengish Chokusu,7439,24406,Tian Shan  ,China/Kyrgyzstan – #1 in Tian Shan
K12,7428,24370,Karakoram  ,India(Jammu and Kashmir)/Pakistan
Sia Kangri,7422,24350,Karakoram  ,Pakistan
Momhil Sar,7414,24324,Karakoram  ,Pakistan
Istor-o-Nal,7403,24288,Hindu Kush  ,Pakistan
Ghent Kangri,7401,24281,Karakoram  ,India (Jammu and Kashmir)/Pakistan
Haramosh Peak,7397,24268,Karakoram  ,Pakistan
