Species,Scientific Name,Range Countries,Status Code,Family
Banded Demoiselle,Calopteryx splendens,Eng/Scot/Wales,,Odonata 
Beautiful Demoiselle,Calopteryx virgo,Eng/Scot/Wales,,Odonata 
Willow Emerald Damselfly [A],Chalcolestes viridis,,"V (1899), RC (2007)",Odonata 
Scarce Emerald Damselfly,Lestes dryas,Eng,,Odonata 
Emerald Damselfly,Lestes sponsa,Eng/Scot/Wales,,Odonata 
Southern Emerald Damselfly,Lestes barbarus,Eng,V (2002),Odonata 
Common Winter Damselfly,Sympecma fusca,,V (2008),Odonata 
Small Red Damselfly,Ceriagrion tenellum,Eng/Wales,,Odonata 
Norfolk Damselfly,Coenagrion armatum,,Ex (1957),Odonata 
Northern Damselfly,Coenagrion hastulatum,Scot,,Odonata 
Southern Damselfly,Coenagrion mercuriale,Eng/Wales,,Odonata 
Azure Damselfly,Coenagrion puella,Eng/Scot/Wales,,Odonata 
Variable Damselfly,Coenagrion pulchellum,Eng/Scot/Wales,,Odonata 
Dainty Damselfly,Coenagrion scitulum,Eng,RC (2010),Odonata 
Common Blue Damselfly,Enallagma cyathigerum,Eng/Scot/Wales,,Odonata 
Red-eyed Damselfly,Erythromma najas,Eng/Wales,,Odonata 
Small Red-eyed Damselfly,Erythromma viridulum,Eng,RC (1999),Odonata 
Blue-tailed Damselfly,Ischnura elegans,Eng/Scot/Wales,,Odonata 
Scarce Blue-tailed Damselfly,Ischnura pumilio,Eng/Wales,,Odonata 
Large Red Damselfly,Pyrrhosoma nymphula,Eng/Scot/Wales,,Odonata 
White-legged Damselfly,Platycnemis pennipes,Eng/Wales,,Odonata 
Common Clubtail [B],Gomphus vulgatissimus,Eng/Wales,,Odonata 
Yellow-legged Dragonfly [C],Gomphus flavipes,,V (1818),Odonata 
Southern Hawker,Aeshna cyanea,Eng/Scot/Wales,,Odonata 
Brown Hawker,Aeshna grandis,Eng/Wales,,Odonata 
Norfolk Hawker,Aeshna isosceles,Eng[K],,Odonata 
Azure Hawker,Aeshna caerulea,Scot,,Odonata 
Common Hawker,Aeshna juncea,Eng/Scot/Wales,,Odonata 
Migrant Hawker,Aeshna mixta,Eng/Wales,,Odonata 
Southern Migrant Hawker [D],Aeshna affinis,,"V (1952), RC (2012)",Odonata 
Emperor,Anax imperator,Eng/Wales,,Odonata 
Lesser Emperor,Anax parthenope,Eng,RC (1996),Odonata 
Green Darner,Anax junius,,V (1998),Odonata 
Hairy Dragonfly,Brachytron pratense,Eng/Scot/Wales,,Odonata 
Vagrant Emperor [E],Hemianax ephippiger,,V (1903),Odonata 
Golden-ringed Dragonfly,Cordulegaster boltonii,Eng/Scot/Wales,,Odonata 
Downy Emerald,Cordulia aenea,Eng/Scot/Wales,,Odonata 
Brilliant Emerald,Somatochlora metallica,Eng/Scot,,Odonata 
Yellow-spotted Emerald,Somatochlora flavomaculata,,V (2018),Odonata 
Northern Emerald,Somatochlora arctica,Scot,,Odonata 
Orange-spotted Emerald,Oxygastra curtisii,,Ex (1963),Odonata 
Broad-bodied Chaser,Libellula depressa,Eng/Wales,,Odonata 
Scarce Chaser,Libellula fulva,Eng,,Odonata 
Four-spotted Chaser,Libellula quadrimaculata,Eng/Scot/Wales,,Odonata 
Black-tailed Skimmer,Orthetrum cancellatum,Eng/Wales,,Odonata 
Keeled Skimmer,Orthetrum coerulescens,Eng/Scot/Wales,,Odonata 
Scarlet Dragonfly,Crocothemis erythraea,,V (1995),Odonata 
Black Darter,Sympetrum danae,Eng/Scot/Wales,,Odonata 
Yellow-winged Darter [F],Sympetrum flaveolum,,V,Odonata 
Red-veined Darter,Sympetrum fonscolombei,Eng,RC,Odonata 
Ruddy Darter,Sympetrum sanguineum,Eng/Wales,,Odonata 
Common Darter [G],Sympetrum striolatum,Eng/Scot/Wales,,Odonata 
Highland Darter [G],Sympetrum striolatum nigrescens,Scot,,Odonata 
Vagrant Darter,Sympetrum vulgatum,,V,Odonata 
Banded Darter,Sympetrum pedemontanum,,V (1995),Odonata 
White-faced Darter,Leucorrhinia dubia,Eng/Scot/Wales,,Odonata 
Large White-faced Darter [H],Leucorrhinia pectoralis,,V (1859),Odonata 
Wandering Glider [I] [J],Pantala flavescens,,V (1823),Odonata 
Large White-faced Darter [H],Leucorrhinia pectoralis,,V (1859),Odonata 
Wandering Glider [I] [J],Pantala flavescens,,V (1823),Odonata 
